GAME_DATE,LAST_NAME,FIRST_NAME,FULL NAME,DRAFTED?,TIER,ROUND,PICK,TEAM,CLASS,SCOUT_NAME,PLAYER_SCHOOL,CONFERENCE,HEIGHT_IN,WEIGHT_LBS,POSITION1,POSITION2,BATTING_SIDE_R_L_S,THROWING_SIDE_R_L,OPPONENT_SCHOOL,OPPONENT_CONFERENCE,GAME,BP_HOME_RUNS_PULL,BP_HOME_RUNS_MIDDLE,BP_HOME_RUNS_OPPOSITE_FIELD,AT_BATS,WALKS,HITS,RUNS,STOLEN_BASES,RBIS,HOME_1ST_TIME,NUMBER_OF_SWINGS,SWING_AND_MISSES,CHASE_SWINGS,SWINGS_FB,LENGTH_OF_AT_BAT_PITCHES,HARD_CONTACT_PULL_SIDE,HARD_CONTACT_MIDDLE,HARD_CONTACT_OPPOSITE_FIELD,ABOVE_AVERAGE_DEFENSIVE_PLAYS,ERRORS_COMMITTED,PRESENT_HITTING,PRESENT_POWER,PRESENT_RUNNING,PRESENT_FIELDING,PRESENT_ARM,FUTURE_HITTING,FUTURE_POWER,FUTURE_RUNNING,FUTURE_FIELDING,FUTURE_ARM,PLAYERID,SCHOOLID,SCOUTID,GAMEKEY,COMMENTS,AVG GRADE
05/24/2018,Spillane,Bren,"Spillane, Bren",Y,1,3,82,Reds,Jr.,Reagan_Gropp,University of Illinois Urbana-Champaign,Big 10,77,210,1B,,R,R,"University of Minnesota, Twin Cities",Big 10,"University of Illinois Urbana-Champaign_AT_University of Minnesota, Twin Cities_05/24/2018",,,,4,0,1,0,0,0,,8,4,3,5,2.8,0,0,1,0,0,30,45,20,40,30,45,55,20,55,35,1409,69,53,8789,,33
04/20/2018,Kaiser,Connor,"Kaiser, Connor",Y,1,3,86,Pirates,Jr.,Z. Tallevast,Vanderbilt University,Southeastern Conference,76,205,SS,INF,R,R,University of Missouri,Southeastern Conference,Vanderbilt University_AT_University of Missouri_04/21/2018,1,,,5,0,1,1,0,0,4.16,5,3,2,4,2.6,1,0,0,2,0,40,35,50,50,45,45,40,60,60,55,2036,579,113,2913,,44
05/03/2018,Pompey,Tristan,"Pompey, Tristan",Y,1,3,89,Marlins,Jr.,Kelly Ramsey,University of Tennessee,SEC,76,205,OF,OF,S,R,University of Tennessee,SEC,University Of Kentucky_AT_University of Tennessee_05/04/2018,,,,4,0,0,0,0,0,4.2,6,2,2,4,4,0,0,0,0,0,60,40,60,70,65,65,50,65,75,70,2634,573,92,4122,"Tristan really struggled at the plate this game with 3 strikeouts. He has good tools to make him a successful offensive player though, really quick hands gets the barrel to the ball. Swing seems to be on time with mid 90's fb. Has above average speed with good range and good arm and hits from both sides of the plate. Batting average is good and has shown some power, projected to be a 1st round pick this year.",59
04/28/2018,Isbel,Kyle,"Isbel, Kyle",Y,1,3,94,Royals,Jr.,"McCann, Ruairi","University of Nevada, Las Vegas",Mountain West,71,190,CF,OF,L,R,San Diego State University,Mountain West,"University of Nevada, Las Vegas_AT_San Diego State University_04/29/2018",,,,4,0,2,0,0,0,4.16,9,2,0,6,3.5,1,1,0,1,0,35,45,60,40,50,45,65,60,60,60,2447,306,72,3341,Quick hands through the zone. Level swing. ,46
04/27/2018,Isbel,Kyle,"Isbel, Kyle",Y,1,3,94,Royals,Jr.,Scott Naughton,University of Nevada Las Vegas,Mountain West Conference ,71,190,CF,,L,R,San Diego State University,Mountain West Conference,University of Nevada Las Vegas_AT_San Diego State University_04/27/2018,2,0,0,4,1,1,0,0,1,4.05,7,1,0,3,4.4,0,1,0,0,0,50,45,65,45,45,55,55,65,55,55,2447,306,84,3294,,50
04/27/2018,Vavra,Terrin,"Vavra, Terrin",Y,1,3,96,Rockies,Jr.,Charlie_Riggs,"University of Minnesota, Twin Cities",Big 10,72,190,SS,,L,R,The Ohio State University,Big 10,"University of Minnesota, Twin Cities_AT_The Ohio State University_04/27/2018",,,,5,0,2,1,0,3,,9,2,0,5,3.6,1,1,0,0,0,55,60,55,50,55,60,60,55,55,60,2777,94,93,3185,,55
05/23/2018,Vavra,Terrin,"Vavra, Terrin",Y,1,3,96,Rockies,Jr.,Reagan_Gropp,"University of Minnesota, Twin Cities",Big 10,72,190,SS,INF,L,R,Michigan State University,Big 10,"University of Minnesota, Twin Cities_AT_Michigan State University_05/23/2018",,,,3,1,2,0,0,1,4.32,6,0,0,5,4,1,0,2,1,0,50,30,20,30,35,55,35,20,35,35,2777,94,53,8783,,33
02/27/2018,Vavra,Terrin,"Vavra, Terrin",Y,1,3,96,Rockies,Jr.,Tommy_Moran,"University of Minnesota, Twin CIties",Big 10,72,190,SS,,L,R,North Dakota State University,Summit League,"North Dakota State University_AT_University of Minnesota, Twin Cities",,,,4,1,3,0,0,0,4.2,8,2,1,7,3.2,1,2,0,,,55,45,50,60,50,65,55,60,65,60,2777,94,78,,,52
03/07/2018,Vavra,Terrin,"Vavra, Terrin",Y,1,3,96,Rockies,Jr.,Tommy_Moran,"University of Minnesota, Twin CIties",Big 10,72,190,SS,,L,R,UW-Milwaukee,Horizon League,"UW-Milwaukee_AT_University of Minnesota, Twin CIties_03/07/2018",,,,3,1,0,1,0,0,,6,2,0,4,3,1,0,1,,,60,45,50,60,50,65,55,60,65,60,2777,94,78,8663,,53
03/07/2018,Vavra,Terrin,"Vavra, Terrin",Y,1,3,96,Rockies,Jr.,Tommy_Moran,"University of Minnesota, Twin CIties",Big 10,72,190,SS,,L,R,UW-Milwaukee,Horizon League,"UW-Milwaukee_AT_University of Minnesota, Twin CIties_03/07/2018",,,,3,1,0,1,0,0,,6,2,0,4,3,1,0,1,,,60,45,50,60,50,65,55,60,65,60,2777,94,78,8663,,53
